id,name,sym,fam,famext,tdl,uniprot,dtoid,novelty_score,importance_score
7098,"Uncharacterized protein KIAA0895",KIAA0895,,,Tdark,Q8NCT3,,16.98666667,0.00240385
11636,"Olfactory receptor 56A1",OR56A1,"oGPCR","oGPCR",Tdark,Q8NGH5,DTO_02100438,28,0.0014881
9239,"Transmembrane protein 89",TMEM89,,,Tdark,A2RUT3,,43,0.00136799
327,"Uncharacterized protein C21orf62",C21orf62,,,Tdark,Q9NYP8,,132,0.00026123
8620,"Alpha-synuclein",SNCA,,,Tchem,P37840,DTO_05007155,0.00012042,112.90134973
17341,"Cholinesterase",BCHE,"Enzyme","type-B carboxylesterase/lipase",Tclin,P06276,,0.00031267,75.9970082
16990,"Choline O-acetyltransferase",CHAT,"Enzyme","carnitine/choline_acetyltransferase",Tchem,P28329,DTO_05006250,0.00033026,36.60092632
3000,"Cyclin-dependent-like kinase 5",CDK5,"Kinase","Kinase",Tchem,Q00535,DTO_03100071,0.00071394,34.97045962
5159,"Triggering receptor expressed on myeloid cells 2",TREM2,,,Tbio,Q9NZC2,,0.00228007,23.17691928
7939,"Sortilin-related receptor",SORL1,,,Tbio,Q92673,DTO_05007023,0.00380895,12.47492838
7605,"Mitochondrial import receptor subunit TOM40 homolog",TOMM40,,,Tbio,O96008,DTO_05002622,0.0041507,6.87574953
13675,"Amyloid-beta A4 precursor protein-binding family B member 1",APBB1,,,Tbio,O00213,,0.00630564,6.35001079
15446,"Gamma-secretase subunit APH-1A",APH1A,"Enzyme",,Tbio,Q96BI3,DTO_05003021,0.00794922,6.1385066
10107,"PHD finger protein 6",PHF6,"Epigenetic",,Tbio,Q8IWS0,DTO_05002150,0.00958984,2.9919597
3564,"Glutaminyl-peptide cyclotransferase",QPCT,"Enzyme",,Tchem,Q16769,DTO_05006209,0.01687113,2.31007732
5817,"Fibrous sheath-interacting protein 1",FSIP1,,,Tbio,Q8NA03,,0.02610106,1.40572565
13238,"AP-1 complex subunit gamma-1",AP1G1,,,Tbio,O43747,DTO_05002324,0.03754132,1.32184833
63,"Calsyntenin-1",CLSTN1,,,Tbio,O94985,DTO_05007375,0.04056624,0.920575
16936,"Amyloid-beta A4 precursor protein-binding family B member 2",APBB2,,,Tbio,Q92870,,0.06546724,0.66937825
9547,"Synaptogyrin-3",SYNGR3,,,Tbio,O43761,DTO_05002600,0.10031778,0.49059814
1574,"Exocyst complex component 3-like protein 2",EXOC3L2,,,Tbio,Q2M3D2,DTO_05002379,0.16366061,0.42520811
5280,"Probable U3 small nucleolar RNA-associated protein 11",UTP11,,,Tbio,Q9Y3A2,DTO_05005389,0.20711838,0.19179598
12102,"Membrane-spanning 4-domains subfamily A member 6E",MS4A6E,,,Tdark,Q96DS6,DTO_05002362,0.29944161,0.18577966
10011,"PITH domain-containing protein 1",PITHD1,,,Tdark,Q9GZP4,,0.32046117,0.14606227
15528,"Ankyrin repeat domain-containing protein 30B",ANKRD30B,,,Tdark,Q9BXX2,,0.35891247,0.14285714
12610,"PDZ domain-containing protein MAGIX",MAGIX,,,Tdark,Q9H6Y5,,0.38577176,0.1
5788,"FERM domain-containing protein 8",FRMD8,,,Tdark,Q9BZ67,,0.39375892,0.07572862
1419,"Protein FAM214A",FAM214A,,,Tdark,Q32MH5,,0.60540836,0.07142857
1575,"Exocyst complex component 3-like protein 4",EXOC3L4,,,Tdark,Q17RC7,DTO_05002510,0.65394237,0.06547619
1404,"Protein FAM171A2",FAM171A2,,,Tdark,A8MVW0,,1.18763693,0.03969927
4414,"Protein SREK1IP1",SREK1IP1,,,Tdark,Q8N9Q2,,1.39429464,0.03472222
18759,"Olfactory receptor 8G5",OR8G5,"oGPCR","oGPCR",Tdark,Q8NG78,DTO_02100696,2.81608767,0.02857143
17369,"Armadillo-like helical domain containing protein 1",ARMH1,,,Tdark,Q6PIY5,,3.31143233,0.02380952
7189,"Zinc finger protein 566",ZNF566,"TF","TF",Tdark,Q969W8,DTO_05001397,4.2802844,0.00797448
13171,"Calcium homeostasis modulator protein 5",CALHM5,"IC",,Tdark,Q8N5C1,DTO_01100099,6.63680002,0.00462963
12790,"Outer dense fiber protein 3-like protein 1",ODF3L1,,,Tdark,Q8IXM7,DTO_05000989,9.03484782,0.00277008
2220,"Uncharacterized protein C1orf131",C1orf131,,,Tdark,Q8NDD1,,10.11904762,0.00255754
3049,"Uncharacterized protein C19orf18",C19orf18,,,Tdark,Q8NEA5,,12.51706673,0.00255102
18441,"Olfactory receptor 5F1",OR5F1,"oGPCR","oGPCR",Tdark,O95221,DTO_02100623,13,0.00226244
19708,"Olfactory receptor 11H2",OR11H2,"oGPCR","oGPCR",Tdark,Q8NH07,DTO_02100331,19.65555556,0.00114943
9902,"Proline-rich protein 23B",PRR23B,,,Tdark,Q6ZRT6,,24,0.00106838
16714,"Transmembrane protein 202",TMEM202,,,Tdark,A6NGA9,DTO_05000949,37,0.00079491
18449,"Olfactory receptor 5M9",OR5M9,"oGPCR","oGPCR",Tdark,Q8NGP3,DTO_02100639,132,0.00026123
17926,"Insulin",INS,,,Tbio,P01308,,0.00000499,107.27673835
15887,"Serum albumin",ALB,,,Tchem,P02768,DTO_05002599,0.00000616,107.12375138
13648,"Brain-derived neurotrophic factor",BDNF,,,Tchem,P23560,DTO_05003335,0.00006891,96.67636821
15595,"Acetylcholinesterase",ACHE,"Enzyme","type-B carboxylesterase/lipase",Tclin,P22303,DTO_05006181,0.00026957,74.16839861
15970,"Amine oxidase [flavin-containing] B",MAOB,"Enzyme",,Tclin,P27338,,0.00030366,27.51755963
13837,"Clusterin",CLU,,,Tbio,P10909,,0.00054776,25.22089711
1135,"Disks large homolog 4",DLG4,,,Tchem,P78352,DTO_05002196,0.00057285,20.93555632
5518,"Insulin-degrading enzyme",IDE,"Enzyme","peptidase",Tchem,P14735,DTO_05005980,0.00207793,20.57353033
19006,"Neurogranin",NRGN,,,Tbio,Q92686,,0.00352757,6.69070131
13656,"Beta-secretase 2",BACE2,"Enzyme","peptidase",Tchem,Q9Y5Z0,DTO_05006132,0.00559862,5.82311607
16377,"Ubiquilin-1",UBQLN1,,,Tbio,Q9UMX0,,0.00921991,2.83518338
3033,"Cholesterol 24-hydroxylase",CYP46A1,"Enzyme","cytochrome_P450",Tchem,Q9Y6A2,DTO_05004915,0.01549935,2.29319088
10087,"Phospholipase D3",PLD3,"Enzyme",,Tbio,Q8IV08,,0.01610007,1.90602672
17040,"Amyloid-beta A4 precursor protein-binding family A member 2",APBA2,,,Tbio,Q99767,DTO_05002574,0.01654185,1.89375559
12447,"MAP/microtubule affinity-regulating kinase 4",MARK4,"Kinase",,Tchem,Q96L34,DTO_03100305,0.01908376,1.32290138
15506,"Gamma-secretase subunit APH-1B",APH1B,"Enzyme",,Tbio,Q8WW43,DTO_05002873,0.03620802,1.03761974
1707,"Gamma-secretase-activating protein",GSAP,"Enzyme",,Tchem,A4D1B5,,0.03943336,0.90766224
9674,"Trem-like transcript 2 protein",TREML2,,,Tbio,Q5T2D2,,0.05038302,0.50143548
494,"Dynamin-binding protein",DNMBP,,,Tbio,Q6XZF7,,0.0533946,0.48735172
15522,"Amyloid-beta A4 precursor protein-binding family B member 3",APBB3,,,Tbio,O95704,,0.15864948,0.36626867
13248,"Protein BHLHb9",BHLHB9,,,Tdark,Q6PI77,,0.17255419,0.18517636
16664,"Mitochondrial import receptor subunit TOM40B",TOMM40L,,,Tdark,Q969M1,DTO_05002430,0.24691216,0.16295191
15389,"Disintegrin and metalloproteinase domain-containing protein 30",ADAM30,"Enzyme",,Tdark,Q9UKF2,DTO_05004401,0.25395428,0.13473491
4685,"RING finger protein 219",RNF219,,,Tdark,Q5W0B1,,0.26163921,0.07794501
7493,"AN1-type zinc finger protein 2B",ZFAND2B,,,Tbio,Q8WV99,DTO_05001786,0.28286118,0.07505114
16820,"Protein Aster-B",GRAMD1B,,,Tbio,Q3KR37,,0.2994102,0.07200728
7085,"Jhy protein homolog",JHY,,,Tdark,Q6NUN7,,0.34150761,0.07142857
17679,"BTB/POZ domain-containing protein KCTD2",KCTD2,,,Tdark,Q14681,,0.42992811,0.06120756
